opeid,name,address,city,state,zip,number_of_defaults,number_of_loans,default_rate
20912,ELEGANCE INTERNATIONAL                                           ,6767 SUNSET BOULEVARD                             ,HOLLYWOOD           ,CA,90028,7,65,10.7
20917,BRIGHTWOOD COLLEGE                                               ,9055 BALBOA AVENUE                                ,SAN DIEGO           ,CA,92123,117,987,11.8
20921,MASSACHUSETTS SCHOOL OF BARBERING                                ,58 ROSS WAY                                       ,QUINCY              ,MA,2169,9,57,15.7
20923,EASTWICK COLLEGE - NUTLEY CAMPUS                                 ,103 PARK AVENUE                                   ,NUTLEY              ,NJ,7110,59,512,11.5
20924,RIDLEY-LOWELL SCHOOL OF BUSINESS                                 ,2 COURT STREET                                    ,BINGHAMTON          ,NY,13901,29,187,15.5
20925,LAUREL TECHNICAL INSTITUTE                                       ,200 STERLING AVE                                  ,SHARON              ,PA,16146,17,200,8.5
20937,LONG ISLAND BUSINESS INSTITUTE                                   ,"136-18 39TH AVENUE, 5TH FLOOR                     ",FLUSHING            ,NY,11354,9,101,8.9
20941,BEN-GURION UNIVERSITY OF THE NEGEV                               ,1 BEN-GURION BLVD..                               ,BEER-SHEVA          ,FC,84105,1,32,3.1
20955,UNIVERSITY OF LONDON - LONDON BUSINESS SCHOOL                    ,REGENT'S PARK                                     ,LONDON              ,FC,NW1 4,0,60,0
20961,FIELDING GRADUATE UNIVERSITY                                     ,2020 DE LA VINA STREET                            ,SANTA BARBARA       ,CA,93105,13,275,4.7
20973,HASTINGS BEAUTY SCHOOL                                           ,221 EAST 2ND STREET                               ,HASTINGS            ,MN,55033,5,49,10.2
20983,WESTERN TECHNICAL COLLEGE                                        ,9624 PLAZA CIRCLE                                 ,EL PASO             ,TX,79927,132,770,17.1
20984,HERKIMER COUNTY  BOCES PRACTICAL NURSING PROGRAM                 ,352 GROS BOULEVARD                                ,HERKIMER            ,NY,13350,8,63,12.6
20987,FATIMA COLLEGE OF MEDICINE                                       ,120 MCARTHUR HIGHWAY                              ,VALENZUELA CITY     ,FC,1405,9,71,12.6
20988,UNIVERSITY OF PHOENIX                                            ,1625 WEST FOUNTAINHEAD PARKWAY                    ,TEMPE               ,AZ,85282,26004,194107,13.3
20995,CENTRAL COMMUNITY COLLEGE                                        ,3134 WEST HIGHWAY 34                              ,GRAND ISLAND        ,NE,68801,172,1184,14.5
20997,ROSS MEDICAL EDUCATION CENTER                                    ,"G-3630 MILLER ROAD, SUITE D                       ",FLINT               ,MI,48507,277,1216,22.7
