opeid,name,address,city,state,zip,number_of_defaults,number_of_loans,default_rate
1002,ALABAMA AGRICULTURAL & MECHANICAL UNIVERSITY                     ,4900 MERIDIAN STREET                              ,NORMAL              ,AL,35762,300,1812,16.5
1003,FAULKNER UNIVERSITY                                              ,5345 ATLANTA HIGHWAY                              ,MONTGOMERY          ,AL,36109,143,1491,9.5
1004,UNIVERSITY OF MONTEVALLO                                         ,PALMER CIRCLE                                     ,MONTEVALLO          ,AL,35115,57,744,7.6
1005,ALABAMA STATE UNIVERSITY                                         ,915 SOUTH JACKSON STREET                          ,MONTGOMERY          ,AL,36104,367,2196,16.7
1007,CENTRAL ALABAMA COMMUNITY COLLEGE                                ,1675 CHEROKEE ROAD                                ,ALEXANDER CITY      ,AL,35010,146,659,22.1
1008,ATHENS STATE UNIVERSITY                                          ,300 NORTH BEATY STREET                            ,ATHENS              ,AL,35611,51,959,5.3
1009,AUBURN UNIVERSITY                                                ,107 SAMFORD HALL                                  ,AUBURN              ,AL,36849,160,3727,4.2
1012,BIRMINGHAM-SOUTHERN COLLEGE                                      ,900 ARKADELPHIA ROAD                              ,BIRMINGHAM          ,AL,35254,8,271,2.9
1013,CALHOUN COMMUNITY COLLEGE                                        ,6250 HIGHWAY 31 NORTH                             ,TANNER              ,AL,35671,357,2107,16.9
1015,ENTERPRISE STATE COMMUNITY COLLEGE                               ,600 PLAZA DRIVE                                   ,ENTERPRISE          ,AL,36331,113,554,20.3
1016,UNIVERSITY OF NORTH ALABAMA                                      ,ONE HARRISON PLAZA                                ,FLORENCE            ,AL,35632,160,1564,10.2
1019,HUNTINGDON COLLEGE                                               ,1500 EAST FAIRVIEW AVENUE                         ,MONTGOMERY          ,AL,36106,54,390,13.8
1020,JACKSONVILLE STATE UNIVERSITY                                    ,"700 PELHAM ROAD, NORTH                            ",JACKSONVILLE        ,AL,36265,316,2708,11.6
1022,JEFFERSON STATE COMMUNITY COLLEGE                                ,2601 CARSON ROAD                                  ,BIRMINGHAM          ,AL,35215,208,1650,12.6
1023,JUDSON COLLEGE                                                   ,302 BIBB STREET                                   ,MARION              ,AL,36756,9,98,9.1
1024,UNIVERSITY OF WEST ALABAMA                                       ,205 NORTH WASHINGTON                              ,LIVINGSTON          ,AL,35470,203,2331,8.7
1026,MARION MILITARY INSTITUTE                                        ,1101 WASHINGTON STREET                            ,MARION              ,AL,36756,33,186,17.7
1028,MILES COLLEGE                                                    ,5500 MYRON MASSEY BOULEVARD                       ,FAIRFIELD           ,AL,35064,134,909,14.7
1029,UNIVERSITY OF MOBILE                                             ,5735 COLLEGE PARKWAY                              ,MOBILE              ,AL,36663,39,661,5.9
1031,NORTHEAST ALABAMA COMMUNITY COLLEGE                              ,138  HIGHWAY 35                    138  ALABAMA HI,RAINSVILLE          ,AL,35986,67,419,15.9
1033,OAKWOOD UNIVERSITY                                               ,"7000 ADVENTIST BOULEVARD, NORTHWEST               ",HUNTSVILLE          ,AL,35896,79,600,13.1
1036,SAMFORD UNIVERSITY                                               ,800 LAKESHORE DRIVE                               ,BIRMINGHAM          ,AL,35229,20,973,2
1038,SNEAD STATE COMMUNITY COLLEGE                                    ,220 NORTH WALNUT STREET                           ,BOAZ                ,AL,35957,36,106,33.9
1040,SOUTHERN UNION STATE COMMUNITY COLLEGE                           ,750 ROBERTS STREET                                ,WADLEY              ,AL,36276,159,928,17.1
1041,SPRING HILL COLLEGE                                              ,4000 DAUPHIN STREET                               ,MOBILE              ,AL,36608,24,411,5.8
1044,STILLMAN COLLEGE                                                 ,3601 STILLMAN BOULEVARD                           ,TUSCALOOSA          ,AL,35401,63,392,16
1046,TALLADEGA COLLEGE                                                ,627 WEST BATTLE STREET                            ,TALLADEGA           ,AL,35160,95,366,25.9
1047,TROY UNIVERSITY                                                  ,UNIVERSITY AVENUE                  ADAMS ADMINISTR,TROY                ,AL,36082,900,8222,10.9
1050,TUSKEGEE UNIVERSITY                                              ,308 KRESGE CENTER                                 ,TUSKEGEE INSTITUTE  ,AL,36088,109,905,12
1051,UNIVERSITY OF ALABAMA                                            ,801 UNIVERSITY BOULEVARD           ROSE ADMINISTRA,TUSCALOOSA          ,AL,35487,275,5325,5.1
1052,UNIVERSITY OF ALABAMA AT BIRMINGHAM                              ,1720 2ND AVENUE SOUTH              LISTER HILL LIB,BIRMINGHAM          ,AL,35294,223,4159,5.3
1055,UNIVERSITY OF ALABAMA IN HUNTSVILLE                              ,212 UNIVERSITY CENTER                             ,HUNTSVILLE          ,AL,35899,77,1464,5.2
1057,UNIVERSITY OF SOUTH ALABAMA                                      ,307 UNIVERSITY BOULEVARD NORTH                    ,MOBILE              ,AL,36688,284,3625,7.8
1060,COASTAL ALABAMA COMMUNITY COLLEGE                                ,1900 HIGHWAY 31 SOUTH                             ,BAY MINETTE         ,AL,36507,256,1346,19
1061,ALASKA PACIFIC UNIVERSITY                                        ,4101 UNIVERSITY DRIVE                             ,ANCHORAGE           ,AK,99508,10,199,5
1063,UNIVERSITY OF ALASKA FAIRBANKS                                   ,"3RD FLOOR, SIGNER'S HALL                          ",FAIRBANKS           ,AK,99775,164,1359,12
1065,UNIVERSITY OF ALASKA SOUTHEAST                                   ,11066 AUKE LAKE WAY                               ,JUNEAU              ,AK,99801,34,438,7.7
1071,ARIZONA WESTERN COLLEGE                                          ,2020 SOUTH AVENUE 8E               FINANCIAL AID O,YUMA                ,AZ,85365,105,427,24.5
1072,COCHISE COLLEGE                                                  ,901 NORTH COLOMBO                                 ,SIERRA VISTA        ,AZ,85635,19,362,5.2
1074,GRAND CANYON UNIVERSITY                                          ,3300 WEST CAMELBACK ROAD                          ,PHOENIX             ,AZ,85017,2218,24074,9.2
1076,GLENDALE COMMUNITY COLLEGE                                       ,6000 WEST OLIVE AVENUE                            ,GLENDALE            ,AZ,85302,695,3279,21.1
1077,MESA COMMUNITY COLLEGE                                           ,1833 WEST SOUTHERN AVENUE                         ,MESA                ,AZ,85202,1325,5447,24.3
1078,PHOENIX COLLEGE                                                  ,1202 WEST THOMAS ROAD                             ,PHOENIX             ,AZ,85013,783,2832,27.6
1079,YAVAPAI COLLEGE                                                  ,1100 EAST SHELDON STREET                          ,PRESCOTT            ,AZ,86301,137,616,22.2
1081,ARIZONA STATE UNIVERSITY                                         ,FINANCIAL AID & SCHOLARSHIP SRVCS  1151 SOUTH FORE,TEMPE               ,AZ,85287,1131,16222,6.9
1082,NORTHERN ARIZONA UNIVERSITY                                      ,"GAMMAGE, BUILDING #1 KNOLES DRIVE  ROOM 209       ",FLAGSTAFF           ,AZ,86011,450,6708,6.7
1083,UNIVERSITY OF ARIZONA (THE)                                      ,PO BOX 210066                      ADMINISTRATION ,TUCSON              ,AZ,85721,346,6122,5.6
1085,UNIVERSITY OF ARKANSAS AT MONTICELLO                             ,140 UNIVERSITY DRIVE                              ,MONTICELLO          ,AR,71656,339,1432,23.6
1086,UNIVERSITY OF ARKANSAS AT PINE BLUFF                             ,1200 NORTH UNIVERSITY DRIVE                       ,PINE BLUFF          ,AR,71601,321,1245,25.7
1087,ARKANSAS BAPTIST COLLEGE                                         ,1621 DOCTOR MARTIN L. KING DRIVE                  ,LITTLE ROCK         ,AR,72202,132,580,22.7
1088,LYON COLLEGE                                                     ,2300 HIGHLAND ROAD                                ,BATESVILLE          ,AR,72501,10,149,6.7
1089,ARKANSAS TECH UNIVERSITY                                         ,215 WEST O STREET                                 ,RUSSELLVILLE        ,AR,72801,351,2579,13.6
1090,ARKANSAS STATE UNIVERSITY                                        ,2105 AGGIE ROAD                                   ,JONESBORO           ,AR,72401,463,4871,9.5
1091,ARKANSAS STATE UNIVERSITY - BEEBE                                ,1000 IOWA STREET                                  ,BEEBE               ,AR,72012,131,667,19.6
1092,UNIVERSITY OF CENTRAL ARKANSAS                                   ,201 DONAGHEY AVENUE                               ,CONWAY              ,AR,72035,218,2639,8.2
1093,CENTRAL BAPTIST COLLEGE                                          ,1501 COLLEGE AVENUE                               ,CONWAY              ,AR,72034,28,210,13.3
1094,UNIVERSITY OF THE OZARKS                                         ,415 NORTH COLLEGE AVENUE                          ,CLARKSVILLE         ,AR,72830,19,146,13
1095,CROWLEY'S RIDGE COLLEGE                                          ,100 COLLEGE DRIVE                                 ,PARAGOULD           ,AR,72450,15,79,18.9
1097,HARDING UNIVERSITY                                               ,915 EAST MARKET                                   ,SEARCY              ,AR,72149,44,1287,3.4
1098,HENDERSON STATE UNIVERSITY                                       ,1100 HENDERSON STREET                             ,ARKADELPHIA         ,AR,71999,147,1121,13.1
1099,HENDRIX COLLEGE                                                  ,1600 WASHINGTON AVENUE                            ,CONWAY              ,AR,72032,10,263,3.8
1100,JOHN BROWN UNIVERSITY                                            ,2000 WEST UNIVERSITY STREET                       ,SILOAM SPRINGS      ,AR,72761,25,638,3.9
1101,UNIVERSITY OF ARKANSAS AT LITTLE ROCK                            ,2801 SOUTH UNIVERSITY                             ,LITTLE ROCK         ,AR,72204,342,3542,9.6
1102,OUACHITA BAPTIST UNIVERSITY                                      ,410 OUACHITA DRIVE                                ,ARKADELPHIA         ,AR,71998,21,270,7.7
1103,PHILANDER SMITH COLLEGE                                          ,900 WEST DAISY GASTON BATES DRIVE                 ,LITTLE ROCK         ,AR,72202,62,300,20.6
1104,PHILLIPS COMMUNITY COLLEGE OF THE UNIVERSITY OF ARKANSAS         ,1000 CAMPUS DRIVE                                 ,HELENA              ,AR,72342,21,74,28.3
1105,SHORTER COLLEGE                                                  ,604 LOCUST STREET                                 ,NORTH LITTLE ROCK   ,AR,72114,8,17,47
1106,WILLIAMS BAPTIST COLLEGE                                         ,60 W. FULLBRIGHT AVENUE                           ,WALNUT RIDGE        ,AR,72476,14,179,7.8
1107,SOUTHERN ARKANSAS UNIVERSITY                                     ,100 EAST UNIVERSITY                               ,MAGNOLIA            ,AR,71753,152,916,16.5
1108,UNIVERSITY OF ARKANSAS                                           ,425 ADMINISTRATION BUILDING                       ,FAYETTEVILLE        ,AR,72701,246,3722,6.6
1109,UNIVERSITY OF ARKANSAS FOR MEDICAL SCIENCES                      ,4301 WEST MARKHAM STREET           SLOT 864       ,LITTLE ROCK         ,AR,72205,11,708,1.5
1110,UNIVERSITY OF ARKANSAS AT FORT SMITH                             ,5210 GRAND AVENUE                                 ,FORT SMITH          ,AR,72904,324,1710,18.9
1111,ALLAN HANCOCK COLLEGE                                            ,800 SOUTH COLLEGE DRIVE                           ,SANTA MARIA         ,CA,93454,25,135,18.5
1113,ANTELOPE VALLEY COLLEGE                                          ,3041 WEST AVENUE K                                ,LANCASTER           ,CA,93536,317,1525,20.7
1116,ART CENTER COLLEGE OF DESIGN                                     ,1700 LIDA STREET                                  ,PASADENA            ,CA,91103,18,451,3.9
1117,AZUSA PACIFIC UNIVERSITY                                         ,901 EAST ALOSTA AVENUE                            ,AZUSA               ,CA,91702,92,3114,2.9
1118,BAKERSFIELD COLLEGE                                              ,1801 PANORAMA DRIVE                               ,BAKERSFIELD         ,CA,93305,134,626,21.4
1120,AMERICAN BAPTIST SEMINARY OF THE WEST                            ,2606 DWIGHT WAY                                   ,BERKELEY            ,CA,94704,4,50,8
1122,BIOLA UNIVERSITY                                                 ,13800 BIOLA AVENUE                                ,LA MIRADA           ,CA,90639,28,1326,2.1
1124,CABRILLO COLLEGE                                                 ,6500 SOQUEL DRIVE                                 ,APTOS               ,CA,95003,75,405,18.5
1125,CALIFORNIA BAPTIST UNIVERSITY                                    ,8432 MAGNOLIA AVENUE                              ,RIVERSIDE           ,CA,92504,75,1759,4.2
1127,CALIFORNIA COLLEGE OF THE ARTS                                   ,1111 EIGHTH STREET                                ,SAN FRANCISCO       ,CA,94107,29,517,5.6
1131,CALIFORNIA INSTITUTE OF TECHNOLOGY                               ,1200 EAST CALIFORNIA BOULEVARD                    ,PASADENA            ,CA,91125,2,104,1.9
1132,CALIFORNIA INSTITUTE OF THE ARTS                                 ,24700 MCBEAN PARKWAY                              ,VALENCIA            ,CA,91355,17,413,4.1
1133,CALIFORNIA LUTHERAN UNIVERSITY                                   ,60 WEST OLSEN ROAD                                ,THOUSAND OAKS       ,CA,91360,29,1130,2.5
1134,CALIFORNIA STATE UNIVERSITY MARITIME ACADEMY                     ,200 MARITIME ACADEMY DRIVE                        ,VALLEJO             ,CA,94590,8,210,3.8
1137,"CALIFORNIA STATE UNIVERSITY, FULLERTON                           ",800 NORTH STATE COLLEGE BOULEVARD                 ,FULLERTON           ,CA,92831,233,5620,4.1
1138,"CALIFORNIA STATE UNIVERSITY, EAST BAY                            ",25800 CARLOS BEE BOULEVARD                        ,HAYWARD             ,CA,94542,155,2914,5.3
1139,"CALIFORNIA STATE UNIVERSITY, LONG BEACH                          ",1250 BELLFLOWER BOULEVARD                         ,LONG BEACH          ,CA,90840,214,6145,3.4
1140,"CALIFORNIA STATE UNIVERSITY, LOS ANGELES                         ",5151 STATE UNIVERSITY DRIVE                       ,LOS ANGELES         ,CA,90032,192,4020,4.7
1141,"CALIFORNIA STATE UNIVERSITY, DOMINGUEZ HILLS                     ",1000 EAST VICTORIA STREET                         ,CARSON              ,CA,90747,211,3251,6.4
1142,"CALIFORNIA STATE UNIVERSITY, SAN BERNARDINO                      ",5500 UNIVERSITY PARKWAY                           ,SAN BERNARDINO      ,CA,92407,223,3842,5.8
1143,CALIFORNIA POLYTECHNIC STATE UNIVERSITY                          ,ONE GRAND AVENUE                                  ,SAN LUIS OBISPO     ,CA,93407,52,2887,1.8
1144,"CALIFORNIA STATE POLYTECHNIC UNIVERSITY, POMONA                  ",3801 WEST TEMPLE AVENUE                           ,POMONA              ,CA,91768,100,3450,2.8
1146,"CALIFORNIA STATE UNIVERSITY, CHICO                               ",400 WEST FIRST STREET                             ,CHICO               ,CA,95929,120,3051,3.9
1147,"CALIFORNIA STATE UNIVERSITY, FRESNO                              ",5150 NORTH MAPLE AVENUE            MS JA64        ,FRESNO              ,CA,93740,181,3712,4.8
1149,HUMBOLDT STATE UNIVERSITY                                        ,1 HARPST STREET                                   ,ARCATA              ,CA,95521,129,1902,6.7
1150,CALIFORNIA STATE UNIVERSITY - SACRAMENTO                         ,6000 J STREET                                     ,SACRAMENTO          ,CA,95819,309,5731,5.3
1151,SAN DIEGO STATE UNIVERSITY                                       ,5500 CAMPANILE DRIVE                              ,SAN DIEGO           ,CA,92182,188,5447,3.4
1153,"CALIFORNIA STATE UNIVERSITY, NORTHRIDGE                          ",18111 NORDHOFF                                    ,NORTHRIDGE          ,CA,91330,371,6921,5.3
1154,SAN FRANCISCO STATE UNIVERSITY                                   ,1600 HOLLOWAY AVENUE                              ,SAN FRANCISCO       ,CA,94132,232,5664,4
1155,SAN JOSE STATE UNIVERSITY                                        ,ONE WASHINGTON SQUARE                             ,SAN JOSE            ,CA,95192,195,5158,3.7
1156,SONOMA STATE UNIVERSITY                                          ,1801 EAST COTATI AVENUE                           ,ROHNERT PARK        ,CA,94928,63,1594,3.9
1157,"CALIFORNIA STATE UNIVERSITY, STANISLAUS                          ",ONE UNIVERSITY CIRCLE                             ,TURLOCK             ,CA,95382,87,1921,4.5
1161,CERRITOS COMMUNITY COLLEGE                                       ,11110 ALONDRA BOULEVARD                           ,NORWALK             ,CA,90650,109,575,18.9
1162,CHABOT COLLEGE                                                   ,25555 HESPERIAN BOULEVARD                         ,HAYWARD             ,CA,94545,39,265,14.7
1163,CHAFFEY COMMUNITY COLLEGE                                        ,5885 HAVEN AVENUE                                 ,RANCHO CUCAMONGA    ,CA,91737,13,122,10.6
1164,CHAPMAN UNIVERSITY                                               ,ONE UNIVERSITY DRIVE                              ,ORANGE              ,CA,92866,61,2242,2.7
1165,CHURCH DIVINITY SCHOOL OF THE PACIFIC                            ,2451 RIDGE ROAD                                   ,BERKELEY            ,CA,94709,2,48,4.1
1166,CITRUS COMMUNITY COLLEGE                                         ,1000 WEST FOOTHILL BOULEVARD                      ,GLENDORA            ,CA,91741,38,270,14
1169,CLAREMONT GRADUATE UNIVERSITY                                    ,170 EAST 10TH STREET                              ,CLAREMONT           ,CA,91711,9,472,1.9
1170,CLAREMONT MCKENNA COLLEGE                                        ,500 EAST NINTH STREET                             ,CLAREMONT           ,CA,91711,0,63,0
1171,HARVEY MUDD COLLEGE                                              ,301 PLATT BOULEVARD                               ,CLAREMONT           ,CA,91711,1,134,0.7
1172,PITZER COLLEGE                                                   ,1050 NORTH MILLS AVENUE                           ,CLAREMONT           ,CA,91711,2,131,1.5
1173,POMONA COLLEGE                                                   ,550 NORTH COLLEGE AVENUE                          ,CLAREMONT           ,CA,91711,1,57,1.7
1174,SCRIPPS COLLEGE                                                  ,1030 COLUMBIA AVENUE                              ,CLAREMONT           ,CA,91711,1,104,0.9
1176,WEST HILLS COMMUNITY COLLEGE                                     ,300 CHERRY LANE                                   ,COALINGA            ,CA,93210,37,158,23.4
1177,COGSWELL POLYTECHNICAL COLLEGE                                   ,191 BAYPOINTE PARKWAY                             ,SAN JOSE            ,CA,95134,4,71,5.6
1178,COLLEGE OF MARIN                                                 ,835 COLLEGE AVENUE                                ,KENTFIELD           ,CA,94904,116,425,27.2
1179,NOTRE DAME DE NAMUR UNIVERSITY                                   ,1500 RALSTON AVENUE                               ,BELMONT             ,CA,94002,27,520,5.1
1181,COLLEGE OF SAN MATEO                                             ,1700 WEST HILLSDALE BOULEVARD                     ,SAN MATEO           ,CA,94402,14,83,16.8
1182,COLLEGE OF THE DESERT                                            ,43-500 MONTEREY AVENUE                            ,PALM DESERT         ,CA,92260,47,208,22.5
1183,HOLY NAMES UNIVERSITY                                            ,3500 MOUNTAIN BOULEVARD                           ,OAKLAND             ,CA,94619,26,421,6.1
1185,COLLEGE OF THE REDWOODS                                          ,7351 TOMPKINS HILL ROAD                           ,EUREKA              ,CA,95501,96,422,22.7
1186,COLLEGE OF THE SEQUOIAS                                          ,915 SOUTH MOONEY BOULEVARD                        ,VISALIA             ,CA,93277,31,182,17
1187,COLLEGE OF THE SISKIYOUS                                         ,800 COLLEGE AVENUE                                ,WEED                ,CA,96094,88,383,22.9
1190,CONTRA COSTA COLLEGE                                             ,2600 MISSION BELL DRIVE                           ,SAN PABLO           ,CA,94806,37,166,22.2
1191,DIABLO VALLEY COLLEGE                                            ,321 GOLF CLUB ROAD                                ,PLEASANT HILL       ,CA,94523,17,157,10.8
1192,CUESTA COLLEGE                                                   ,HIGHWAY 1                                         ,SAN LUIS OBISPO     ,CA,93403,42,451,9.3
1193,CYPRESS COLLEGE                                                  ,9200 VALLEY VIEW STREET                           ,CYPRESS             ,CA,90630,65,371,17.5
1196,DOMINICAN UNIVERSITY OF CALIFORNIA                               ,50 ACACIA AVENUE                                  ,SAN RAFAEL          ,CA,94901,26,610,4.2
1197,EL CAMINO COLLEGE                                                ,16007 CRENSHAW BOULEVARD                          ,TORRANCE            ,CA,90506,83,421,19.7
1199,FOOTHILL COLLEGE                                                 ,12345 EL MONTE ROAD                               ,LOS ALTOS HILLS     ,CA,94022,94,470,20
1200,FULLER THEOLOGICAL SEMINARY                                      ,135 NORTH OAKLAND AVENUE                          ,PASADENA            ,CA,91182,9,533,1.6
1201,FULLERTON COLLEGE                                                ,321 EAST CHAPMAN AVENUE                           ,FULLERTON           ,CA,92832,89,496,17.9
1202,GAVILAN COLLEGE                                                  ,5055 SANTA TERESA BOULEVARD                       ,GILROY              ,CA,95020,61,223,27.3
1203,GLENDALE COMMUNITY COLLEGE                                       ,1500 NORTH VERDUGO ROAD                           ,GLENDALE            ,CA,91208,22,249,8.8
1205,GOLDEN GATE UNIVERSITY                                           ,536 MISSION STREET                                ,SAN FRANCISCO       ,CA,94105,19,907,2
1206,GOLDEN WEST COLLEGE                                              ,15744 GOLDEN WEST STREET                          ,HUNTINGTON BEACH    ,CA,92647,27,272,9.9
1207,GRADUATE THEOLOGICAL UNION                                       ,2400 RIDGE ROAD                                   ,BERKELEY            ,CA,94709,1,82,1.2
1208,GROSSMONT COLLEGE                                                ,8800 GROSSMONT COLLEGE DRIVE                      ,EL CAJON            ,CA,92020,57,433,13.1
1209,HARTNELL COMMUNITY COLLEGE                                       ,411 CENTRAL AVENUE                                ,SALINAS             ,CA,93901,30,106,28.3
1212,HUMPHREYS UNIVERSITY                                             ,6650 INGLEWOOD AVENUE                             ,STOCKTON            ,CA,95207,55,559,9.8
1215,LA SIERRA UNIVERSITY                                             ,4500 RIVERWALK PARKWAY                            ,RIVERSIDE           ,CA,92515,24,631,3.8
1216,UNIVERSITY OF LA VERNE                                           ,1950 3RD STREET                                   ,LA VERNE            ,CA,91750,88,2348,3.7
1217,LASSEN COLLEGE                                                   ,478-200 HIGHWAY 139                               ,SUSANVILLE          ,CA,96130,29,132,21.9
1218,LOMA LINDA UNIVERSITY                                            ,11139 ANDERSON STREET                             ,LOMA LINDA          ,CA,92350,9,1192,0.7
1219,LONG BEACH CITY COLLEGE                                          ,4901 EAST CARSON STREET                           ,LONG BEACH          ,CA,90808,277,1116,24.8
1220,MASTER'S UNIVERSITY AND SEMINARY (THE)                           ,21726 PLACERITA CANYON ROAD                       ,SANTA CLARITA       ,CA,91321,10,331,3
1223,LOS ANGELES CITY COLLEGE                                         ,855 NORTH VERMONT AVENUE                          ,LOS ANGELES         ,CA,90029,131,640,20.4
1224,LOS ANGELES HARBOR COLLEGE                                       ,1111 FIGUEROA PLACE                               ,WILMINGTON          ,CA,90744,22,119,18.4
1226,LOS ANGELES PIERCE COLLEGE                                       ,6201 WINNETKA AVENUE                              ,WOODLAND HILLS      ,CA,91371,105,565,18.5
1227,LOS ANGELES TRADE-TECHNICAL COLLEGE                              ,400 WEST WASHINGTON BOULEVARD                     ,LOS ANGELES         ,CA,90015,64,245,26.1
1228,LOS ANGELES VALLEY COLLEGE                                       ,5800 FULTON AVENUE                                ,VALLEY GLEN         ,CA,91401,76,460,16.5
1229,SOUTHERN CALIFORNIA UNIVERSITY OF HEALTH SCIENCES                ,16200 EAST AMBER VALLEY DRIVE                     ,WHITTIER            ,CA,90604,11,236,4.6
1230,MARSHALL B. KETCHUM UNIVERSITY                                   ,2575 YORBA LINDA BOULEVARD                        ,FULLERTON           ,CA,92831,0,102,0
1232,AMERICAN RIVER COLLEGE                                           ,4700 COLLEGE OAK DRIVE                            ,SACRAMENTO          ,CA,95841,489,1964,24.8
1233,SACRAMENTO CITY COLLEGE                                          ,3835 FREEPORT BOULEVARD                           ,SACRAMENTO          ,CA,95822,226,1111,20.3
1236,MENLO COLLEGE                                                    ,1000 EL CAMINO REAL                               ,ATHERTON            ,CA,94027,23,162,14.1
1238,MILLS COLLEGE                                                    ,5000 MACARTHUR BOULEVARD                          ,OAKLAND             ,CA,94613,15,560,2.6
1239,MIRACOSTA COLLEGE                                                ,ONE BARNARD DRIVE                                 ,OCEANSIDE           ,CA,92056,26,156,16.6
1242,MONTEREY PENINSULA COLLEGE                                       ,980 FREMONT STREET                                ,MONTEREY            ,CA,93940,41,199,20.6
1243,MOUNT SAINT MARY'S UNIVERSITY                                    ,12001 CHALON ROAD                                 ,LOS ANGELES         ,CA,90049,57,931,6.1
1245,MOUNT SAN ANTONIO COLLEGE                                        ,1100 NORTH GRAND AVENUE                           ,WALNUT              ,CA,91789,33,273,12
1246,MT. SAN JACINTO COLLEGE                                          ,1499 NORTH STATE STREET                           ,SAN JACINTO         ,CA,92583,15,188,7.9
1247,NAPA VALLEY COLLEGE                                              ,2277 NAPA VALLEJO HIGHWAY                         ,NAPA                ,CA,94558,8,109,7.3
1249,OCCIDENTAL COLLEGE                                               ,1600 CAMPUS ROAD                                  ,LOS ANGELES         ,CA,90041,0,294,0
1250,ORANGE COAST COLLEGE                                             ,2701 FAIRVIEW ROAD                                ,COSTA MESA          ,CA,92628,54,466,11.5
1251,OTIS COLLEGE OF ART & DESIGN                                     ,9045 LINCOLN BOULEVARD                            ,LOS ANGELES         ,CA,90045,11,319,3.4
1252,HOPE INTERNATIONAL UNIVERSITY                                    ,2500 EAST NUTWOOD AVENUE                          ,FULLERTON           ,CA,92831,26,448,5.8
1253,FRESNO PACIFIC UNIVERSITY                                        ,1717 SOUTH CHESTNUT AVENUE                        ,FRESNO              ,CA,93702,75,1366,5.4
1255,PACIFIC OAKS COLLEGE                                             ,55 EUREKA STREET                                  ,PASADENA            ,CA,91103,17,306,5.5
1256,PACIFIC SCHOOL OF RELIGION                                       ,1798 SCENIC AVENUE                                ,BERKELEY            ,CA,94709,0,50,0
1258,PACIFIC UNION COLLEGE                                            ,1 ANGWIN AVENUE                                   ,ANGWIN              ,CA,94508,29,474,6.1
1260,PALOMAR COLLEGE                                                  ,1140 WEST MISSION ROAD                            ,SAN MARCOS          ,CA,92069,47,294,15.9
1261,PASADENA CITY COLLEGE                                            ,1570 EAST COLORADO BOULEVARD                      ,PASADENA            ,CA,91106,38,221,17.1
1262,POINT LOMA NAZARENE UNIVERSITY                                   ,3900 LOMALAND DRIVE                               ,SAN DIEGO           ,CA,92106,24,1043,2.3
1266,LANEY COLLEGE                                                    ,900 FALLON STREET                                 ,OAKLAND             ,CA,94607,13,67,19.4
1267,MERRITT COLLEGE                                                  ,12500 CAMPUS DRIVE                                ,OAKLAND             ,CA,94619,28,126,22.2
1269,RIO HONDO COMMUNITY COLLEGE                                      ,3600 WORKMAN MILL ROAD                            ,WHITTIER            ,CA,90601,37,220,16.8
1270,RIVERSIDE CITY COLLEGE                                           ,4800 MAGNOLIA AVENUE                              ,RIVERSIDE           ,CA,92506,51,518,9.8
1272,SAN BERNARDINO VALLEY COLLEGE                                    ,701 SOUTH MOUNT VERNON AVENUE                     ,SAN BERNARDINO      ,CA,92410,10,87,11.4
1273,SAN DIEGO CITY COLLEGE                                           ,1313 PARK BOULEVARD                               ,SAN DIEGO           ,CA,92101,153,804,19
1275,SAN DIEGO MESA COLLEGE                                           ,7250 MESA COLLEGE DRIVE                           ,SAN DIEGO           ,CA,92111,91,578,15.7
1278,SAN FRANCISCO CONSERVATORY OF MUSIC                              ,50 OAK STREET                                     ,SAN FRANCISCO       ,CA,94102,4,94,4.2
1279,SAN FRANCISCO THEOLOGICAL SEMINARY                               ,105 SEMINARY ROAD                                 ,SAN ANSELMO         ,CA,94960,10,65,15.3
1280,SAN JOAQUIN DELTA COLLEGE                                        ,5151 PACIFIC AVENUE                               ,STOCKTON            ,CA,95207,208,967,21.5
1281,WILLIAM JESSUP UNIVERSITY                                        ,2121 UNIVERSITY AVENUE                            ,ROCKLIN             ,CA,95765,13,276,4.7
1282,SAN JOSE CITY COLLEGE                                            ,2100 MOORPARK AVENUE                              ,SAN JOSE            ,CA,95128,46,235,19.5
1284,SANTA ANA COLLEGE                                                ,1530 WEST 17TH STREET                             ,SANTA ANA           ,CA,92706,29,246,11.7
1285,SANTA BARBARA CITY COLLEGE                                       ,721 CLIFF DRIVE                                   ,SANTA BARBARA       ,CA,93109,243,1326,18.3
1286,SANTA MONICA COLLEGE                                             ,1900 PICO BOULEVARD                               ,SANTA MONICA        ,CA,90405,43,373,11.5
1287,SANTA ROSA JUNIOR COLLEGE                                        ,1501 MENDOCINO AVENUE                             ,SANTA ROSA          ,CA,95401,54,443,12.1
1288,CLAREMONT SCHOOL OF THEOLOGY                                     ,1325 NORTH COLLEGE AVENUE                         ,CLAREMONT           ,CA,91711,0,35,0
1289,SHASTA COLLEGE                                                   ,11555 OLD OREGON TRAIL                            ,REDDING             ,CA,96049,91,412,22
1290,SIERRA COLLEGE                                                   ,5100 SIERRA COLLEGE BOULEVARD                     ,ROCKLIN             ,CA,95677,210,973,21.5
1291,SIMPSON UNIVERSITY                                               ,2211 COLLEGE VIEW DRIVE                           ,REDDING             ,CA,96003,22,523,4.2
1292,SOLANO COMMUNITY COLLEGE                                         ,4000 SUISUN VALLEY ROAD                           ,FAIRFIELD           ,CA,94534,52,343,15.1
